"","Celltype","Contrast","DGE_total","DGE_up","DGE_down"
"NPC-div.1","NPC-div","DiseaseStatus HC vs PD",26,26,0
"NPC-div.2","NPC-div","DiseaseStatus HC vs PD-iso",22,20,2
"NPC-div.3","NPC-div","DiseaseStatus PD vs PD-iso",3,3,0
"NeuronGABA.1","NeuronGABA","DiseaseStatus HC vs PD",9,9,0
"NeuronGABA.2","NeuronGABA","DiseaseStatus HC vs PD-iso",7,6,1
"NeuronGABA.3","NeuronGABA","DiseaseStatus PD vs PD-iso",0,0,0
"Progenitor.1","Progenitor","DiseaseStatus HC vs PD",0,0,0
"Progenitor.2","Progenitor","DiseaseStatus HC vs PD-iso",20,19,1
"Progenitor.3","Progenitor","DiseaseStatus PD vs PD-iso",0,0,0
"Epithelial.1","Epithelial","DiseaseStatus HC vs PD",6,3,3
"Epithelial.2","Epithelial","DiseaseStatus HC vs PD-iso",23,3,20
"Epithelial.3","Epithelial","DiseaseStatus PD vs PD-iso",1,0,1
"NPC-DA.1","NPC-DA","DiseaseStatus HC vs PD",0,0,0
"NPC-DA.2","NPC-DA","DiseaseStatus HC vs PD-iso",0,0,0
"NPC-DA.3","NPC-DA","DiseaseStatus PD vs PD-iso",0,0,0
"NeuronDA.1","NeuronDA","DiseaseStatus HC vs PD",1,0,1
"NeuronDA.2","NeuronDA","DiseaseStatus HC vs PD-iso",2,0,2
"NeuronDA.3","NeuronDA","DiseaseStatus PD vs PD-iso",4,3,1
"Neuron.1","Neuron","DiseaseStatus HC vs PD",0,0,0
"Neuron.2","Neuron","DiseaseStatus HC vs PD-iso",1,0,1
"Neuron.3","Neuron","DiseaseStatus PD vs PD-iso",0,0,0
"Stem.1","Stem","DiseaseStatus HC vs PD",0,0,0
"Stem.2","Stem","DiseaseStatus HC vs PD-iso",0,0,0
"Stem.3","Stem","DiseaseStatus PD vs PD-iso",1,1,0
"Endothelial.1","Endothelial","DiseaseStatus HC vs PD",0,0,0
"Endothelial.2","Endothelial","DiseaseStatus HC vs PD-iso",0,0,0
"Endothelial.3","Endothelial","DiseaseStatus PD vs PD-iso",0,0,0
